loss,val_loss,lr
1.5488340068259276e-05,1.8945451301988214e-05,0.001
2.199550908699166e-05,3.919507798855193e-05,0.001
5.529289410333149e-05,0.00011312206333968788,0.001
4.7759989683981985e-05,0.00011853288015117869,0.001
9.658739145379514e-05,0.00013422509073279798,0.001
5.808935748063959e-05,9.803997090784833e-05,0.001
6.132410635473207e-05,2.7109557777293958e-05,0.001
4.621386688086204e-05,4.940425787935965e-05,0.001
3.705731433001347e-05,4.444897422217764e-05,0.001
5.4613923566648737e-05,9.436567052034661e-05,0.001
0.00022111264115665108,7.486692629754543e-05,0.001
