loss,val_loss,lr
0.001969831297174096,0.00041896954644471407,0.001
0.00034889738890342414,0.0002418944932287559,0.001
0.00023236023844219744,0.00020855996990576386,0.001
0.00022439833264797926,0.00021313368051778525,0.001
0.00022632325999438763,0.0002052980853477493,0.001
0.00021943241881672293,0.0002010050811804831,0.001
0.00021563503833021969,0.00021301655215211213,0.001
0.00021919907885603607,0.00020255520939826965,0.001
0.00021758752700407058,0.00020484835840761662,0.001
0.00020701198081951588,0.0001986919087357819,0.001
0.00019495288142934442,0.00024564669001847506,0.001
0.0002415285853203386,0.00020587896869983524,0.001
0.00022325267491396517,0.00021029572235420346,0.001
0.00022086079115979373,0.00020369328558444977,0.001
0.00021891779033467174,0.0001987256109714508,0.001
0.0002197920548496768,0.0001982541143661365,0.001
0.00022053171414881945,0.00019714589871000499,0.001
0.00020876963390037417,0.00019513405277393758,0.001
0.00019707878527697176,0.00020098735694773495,0.001
0.00022139296925161034,0.0002335256285732612,0.001
0.00023170966596808285,0.00020455438061617315,0.001
0.0002179435541620478,0.0002020683605223894,0.001
0.00021518355060834438,0.00019695961964316666,0.001
0.00020308300736360252,0.00020702797337435186,0.001
0.00020640769798774272,0.0001759442238835618,0.001
0.00020494917407631874,0.00018257387273479253,0.001
0.0001886257523437962,0.0001628488244023174,0.001
0.0001762831670930609,0.00015021060244180262,0.001
0.0001711621298454702,0.00014212803216651082,0.001
0.00016597805370111018,0.00013625230349134654,0.001
0.00015174296277109534,0.00015852345677558333,0.001
0.0001549125590827316,0.00012182656791992486,0.001
0.00014059974637348205,0.00010111087613040581,0.001
0.00012132230040151626,9.206617687596008e-05,0.001
0.00010344194015488029,8.629552758065984e-05,0.001
9.995696746045724e-05,0.00010494529851712286,0.001
0.00010285963799105957,8.107841858873144e-05,0.001
7.841028127586469e-05,6.84641272528097e-05,0.001
7.074763561831787e-05,4.984933548257686e-05,0.001
5.516370583791286e-05,5.310590859153308e-05,0.001
5.8555866417009383e-05,4.2259551264578477e-05,0.001
4.993125912733376e-05,4.2553539969958365e-05,0.001
4.4039683416485786e-05,3.7920930481050164e-05,0.001
3.91842913813889e-05,4.6682776883244514e-05,0.001
3.909111910616048e-05,3.486877540126443e-05,0.001
3.575642404030077e-05,3.6315410397946835e-05,0.001
4.107596032554284e-05,3.1712534109828994e-05,0.001
4.059303319081664e-05,3.766243389691226e-05,0.001
3.5936951462645084e-05,3.087475852225907e-05,0.001
3.664101677713916e-05,2.8404287149896845e-05,0.001
3.429048592806794e-05,2.832498103089165e-05,0.001
2.9543765776907094e-05,2.6110734324902296e-05,0.001
2.7600655812420882e-05,2.711323759285733e-05,0.001
2.810336445691064e-05,2.3951666662469506e-05,0.001
